"Gemeinde","Längengrad_Gemeinde","Breitengrad_Gemeinde","state","Hauptstadt","Längengrad","Breitengrad"
"GUCKHEIM",7.947687,50.529277,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"KOELBINGEN",7.934284,50.551956,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"LANGENHAHN",7.918297,50.583308,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"POTTUM",8.000709,50.597669,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"ROTHENBACH",7.900827,50.564072,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"HOEHN",7.986474,50.619257,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"FEHL RITZHAUSEN",8.000617,50.643503,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"HOF",8.014413,50.666559,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"NISTERAU",7.989124,50.656884,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"HELLENHAHN SCHELLENBERG",8.024118,50.61068,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"REHE",8.119798,50.634351,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"SECK",8.048049,50.576819,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"WESTERNOHE",8.098794,50.587473,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"BONEFELD",7.490326,50.524773,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"HARDERT",7.518774,50.518101,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"RENGSDORF",7.495878,50.503405,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"EHLSCHEID",7.469096,50.515967,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"KURTSCHEID",7.460901,50.533925,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"MELSBACH",7.479555,50.487858,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"RUESCHEID",7.565627,50.522824,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"OBERHONNEFELD GIEREND",7.516923,50.553659,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"STRASSENHAUS",7.515087,50.539879,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"WALDBREITBACH",7.417784,50.552304,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"NIEDERBREITBACH",7.41779,50.530088,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"PLECKHAUSEN",7.542036,50.595239,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"WILLROTH",7.529873,50.568987,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"RHEINBROHL",7.331465,50.495813,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
"LEUTESDORF",7.385998,50.452992,"Rhineland-Palatinate","Mainz",8.2762513,50.0012314
